Experience in this field or in network administration;Microsoft Network Administration 1, 2
;Unix/Linux Network Administration 1, 2
;Computer Systems
;Network Administration Fundamentals
;Network Security Fundamentals
Good communication skills;Communication Skills
Research skills;Introduction to research methods
Be able to handle high-stress situations.;
