Strong leadership;Priciples of Management
Excellent communication skills;Communication Skills
Able to communicate with people in technical and nontechnical terms;Management Information Systems
Experience in computer and network security;Computer Organization & Architecture
;Computer Networks
;Network Security Fundamentals
