1;Computer Support Specialist; 31.000 ; 58.000 
2;Computer Technician; 31.000 ; 46.000 
3;Database Adminstrator; 67.000 ; 98.000 
4;Disaster Recovery Specialist; 70.000 ; 103.000 
5;Information System Manager; 92.000 ; 125.000 
6;IT Security Analysis; 62.000 ; 101.000 
7;Network Administration; 46.000 ; 84.000 
8;Programmer; 49.000 ; 89.000 
9;Software Engineer; 53.000 ; 97.000 
10;System Analyst; 49.000 ; 93.000 
11;Technical Writer; 41.000 ; 78.000 
12;Webmaster; 56.000 ; 84.000 
